Drug Name,Dosage form and strength,Indication,Contraindictions/Precautions,Dosage Schedule,Adverse Effects,Drug and food interaction
BENZOIC ACID AND SALICYLIC ACID, Ointment/Cream: 6% w/w of benzoic acid and 3% w/w of salicylic acid in a suitable base,"Superficial dermatophyte infections - Tinea corporis, Tinea cruris","Hypersensitivity (to any of the
components). alicylate toxicity may occur particularly if applied on large
areas of skin. Avoid broken or inflamed skin, avoid contact with eyes, and
avoid contact with mucous membranes",Apply twice daily until the infected skin is shed (usually at least 4 weeks).,"Erythema, hypersensitivity reactions, itching, mild burning
sensation, occasional local irritation",
FUSIDIC ACID,Cream/Ointment: 2%,"Staphylococcal skin infection (impetigo, folliculitis), erythrasma, pitted keratolysis","Allergy to fusidic acid and its salt or any of its ingredient. Avoid contact of cream or ointment with eyes. To avoid the development of resistance, fusidic acid should not be used for longer than 10 days","Staphylococcal skin infection: apply 3–4 times a day in
the skin",Hypersensitivity reactions Patient information: Avoid contact of cream or ointment with eyes.,
METRONIDAZOLE,Cream: 0.75%; Gel: 0.75%,"Rosacea, malodorous gravitational and decubitus ulcers","Hypersensitivity to this product or
nitroimidazoles, parabens. Hepatic disease, blood dyscrasias, children.
Watery eyes, metallic taste in mouth, numbness and paraesthesias or any
other side effects may occur and need to be reported."," Acute inflammatory exacerbation of rosacea: Apply twice daily for 8 weeks,
to be applied thinly
• Inflammatory papules and pustules of rosacea: Apply twice daily for 6
weeks (longer if necessary)
• For malodorous fungating tumours and malodorous gravitational and
decubitus ulcers: Apply 1-2 times a day, to be applied to clean wound and
covered with non-adherent dressing"," Dryness, itching, burning, stinging","May cross-react in patients with allergy to oral
forms.
Patient information: Topical skin products are not for intravaginal therapy
Drugs used in Skin Disorders
382
and are for external use only; do not use skin products near the eyes, nose,
or mouth. Avoid exposure to strong sunlight or UV light."
MUPIROCIN,Ointment: 2%,"Bacterial skin infections, particularly those caused by Gram positive organisms (except pseudomonal infection)",": Known hypersensitivity. Renal impairment,
burns, large open wounds, pregnancy, lactation. If reactions suggesting
chemical irritation or sensitivity occur, treatment should be discontinued and
alternative therapy for the infection should be instituted.","Impetigo, skin infections (Staphylococcus aureus, Streptococcus pyogenes): Apply up to 3 times a day for up to 10 days","Burning sensation, local reactions, pruritus, rash, urticaria
Patient information: Avoid contact with the eyes. The medication should
be discontinued in case of irritation, severe itching or rash and health care
provider should be contacted. If impetigo has not improved by 3-5 days,
contact with health care provider.",
SILVER SULFADIAZINE,Cream: 1% w/w,Minor burns,"Hypersensitive to sulphonamides,
pregnancy [C, X (near term)], breastfeeding and neonates. Hepatic, renal
impairment, G-6PD deficiency. Owing to the association of sulfonamides with
severe blood and skin disorders, treatment should be stopped immediately if
blood disorders or rashes develop.",Apply once daily or twice daily if exudative,"Allergic reactions, argyria (following treatment of large areas of skin or prolonged use), burning, itching, leucopenia, rashes"," Decreases effects of collagenase, pepain,
trypsin"
AMOROLFINE,Nail lacquer: 5%; Cream: 0.25%," Fungal nail infections, dermatophyte infections, yeasts infection","Hypersensitivity. Avoid contact with ears,
avoid contact with eyes and mucous membranes, use with caution in child
likely to suck affected digits. Do not use in children under 12 years.","Fungal nail infections: By transungual application, Apply 1–2 times a week for 6 months to treat finger nail and for toe nails 9–12 months (review at intervals of 3 months), apply to infected nails after filing and cleansing, allow drying for approximately 3 minutes. • Dermatophytes/yeast infections: Apply once daily on affected areas for 4 weeks.","Burning sensation, erythema, hypersensitivity reactions,
NNF 2018
383
itching, occasional local irritation
Patient information: Treatment should be discontinued if side-effects are
severe. Avoid nail varnish or artificial nails during treatment",
CLOTRIMAZOLE,Cream: 1% w/w; Gel: 1% w/w; Solution: 1% w/w,"Tinea pedis, T. cruris, T. corporis, T. versicolor, Cutaneous candidasis","Hypersensitivity to any of the
formulation components. Contact with eyes and mucous membranes
should be avoided. Treatment should be discontinued if side effects are
severe.",Apply 2-3 times daily for 4-6 weeks,"Local irritation, erythema, hypersensitivity reactions, itching,mild burning sensation Patient information: Contact with eyes and mucous membranes should be avoided",
GENTIAN VIOLET,Solution: 1% w/v,Cutaneous/mucocutaneous infections caused by Candida albicans,"Avoid use in ulcerated lesions, broken skin,mucous membranes.","Local application: apply locally, 2-3 times daily","Irritation/ sensitivity reactions, mucous membranes ulcerations",
MICONAZOLE NITRATE,Ointment: 2% w/w; Ovule: 200 mg,"Fungal skin infections, fungal nail infections, oral fungal infection, vaginal candidiasis","Hypersensitivity to this product or imidazoles. Avoid in acute porphyrias, contact with eyes and mucous membranes should be avoided. Treatment should be discontinued if side effects are severe",Fungal skin infections: Apply twice daily continuing for 10 days after lesions have healed ;Fungal nail infections: Apply 1–2 times a day," Local irritation and burning.
Patient information: Contact with eyes and mucous membranes should be
avoided.",
NEOMYCIN,"Combination ointment: Neomycin 1000 units, Polymyxin 5000 units and Bacitracin 1500 units","Steroid responsive dermatoses with infection, prophylaxis of
skin infection in minor injury.","Hypersensitivity. Pregnancy(C), Lactation use with caution.",Apply cream/ointment BID-QID for 7 days,"Sensitization, burning, itching, irritation, dryness","Not recommended in allogenic cultured
keratinocytes/fiboblasts in bovine collagen."
