CARBAMAZEPINE," Tablet: 100mg, 200mg, 300 mg, 400mg; oral ; 
solution: each 5ml of oral solution containing 100mg of carbamazepine","Treatment of tonic-clonic, mixed and complex partial seizures
(not used in absence seizures and myoclonic seizure), management of pain in
trigeminal neuralgia or diabetic neuropathy, acute mania.","Bone marrow suppression, administration
of MAO-I within last 14 days, jaundice, hepatitis. Use cautiously in cardiac
or hepatic disease, renal failure, skin reactions, history of blood disorders,
glaucoma, pregnancy (esp. 1st trimester: risk of fetal carbamazepine
syndrome). ","As anticonvulsants: PO (adults) 200mg BD (tab) or 100mg q (suspension),
increase by 200mg/day for 7 days until therapeutic levels are achieved
(range 600-1200mg/day in divided doses q 6-8 hours; not to exceed 1 gm/
day in 12-15 year olds.; As antineuralgic: 100mg BD or 50mg qid (suspension); increase by up to
200mg/day until pain is relieved, then maintenance dose of 200-1200mg/
day in divided doses (usual range: 400-800mg/day); PO (children 6-12
years): 100mg BD or 50mg qid (suspension), increase by 100mg weekly
until therapeutic levels are obtained (400-800mg/day, not to exceed 1gm/
day); PO (children <6 years): 10-20mg/kg/day in 2-3 divided doses; may be
increased at weekly intervals until optimal response and therapeutic levels
are achieved. Usual maintenance dose is 250-350mg/day (not to exceed 35
mg/kg/day)",": Ataxia, drowsiness, CHF, renal damage, blurring of vision,
agranulocytosis, migraine (headache), increased ADH secretion (dilutional
hyponatremia), exfoliative dermatitis/hypersensitivity reaction, decreased
platelet, increased risk of lupus, nausea, emesis.","Concurrent use of MAO-I may result in
hyperpyrexia, hypertension, seizures and death, induces hepatic enzymes.
Regular dosage promotes its own metabolism and that of other drugs
metabolized in liver, including phenobarbital, ethosuximide, phenytoin, oral
contraceptives"
CLOBAZAM,": Tablet: 10 mg","Adjunct in epilepsy, anxiety"," Hypersensitivity. Do not stop the drug
abruptly","Epilepsy: 20 to 30 mg daily (max. 60mg daily); child >3yrs:
not more than half adult dose; Anxiety: 20 to 30 mg daily in divided doses
or as a single dose at bed time, increased in severe anxiety (in hospitalized
patients) to a maximum of 60mg daily in divided doses; elderly 10-20 mg
daily","Somnolence, sedation, pyrexia, URTI",": CNS depressants (effect may be potentiated)
Patient information: Tablets should be swallowed whole; do not crush, break
or chew"
CLONAZEPAM,"Tablets: 0.25mg, 0.5mg, 1mg","Status epilepticus, all types of epilepsy, anxiety disorder"," Hypersensitivity, severe liver diseases,
respiratory depression and acute pulmonary insufficiency. Pregnancy
category C, breast feeding mothers. Do not stop the drug abruptly","Seizures: 1.5 mg divided into 3 doses, raise by 0.5 mg every 3 days until
desired effect is reached; divide into 3 even doses or else give largest dose
at bedtime;  Panic: 1 mg/day; start at 0.25 mg divided into 2 doses, raise to 1 mg after 3
days; dose either twice daily or once at bedtime; maximum dose generally
4 mg/day","Suicidal thoughts, dizziness, drowsiness, ataxia, muscle
hypotonia, restlessness, salivary or bronchial hypertension in infants and
small children, sexual dysfunction, dependence.
","With verapamil, diltiazem: risk of AV block.
Patient information: Notify if mouth sores, sore throat, fever, swelling of
hands or feet, irregular heartbeat, chest pain, signs of angioedema. Avoid
prolong use beyond prescription."
DIAZEPAM,"Injection: 5mg/ml, Tablets: 2mg, 5mg"," Adjunct in the management of anxiety disorder, anxiety relief
prior to cardioversion, preoperative sedation, conscious sedation (provides
light anaesthesia and anterograde amnesia), treatment of status epilepticus/
uncontrolled seizures, as a skeletal muscle relaxants, management of
symptoms of alcohol withdrawal.","Acute alcohol intoxication, myasthenia
gravis, acute narrow angle glaucoma and sleep apnea, children <6 months.
Severe renal impairment, compromised liver function, history of suicidal
tendency or drug dependence and acute alcoholism, debilitated patients
with low albumin, COPD and sleep apnea. Facilities for mechanical
ventilation should always be at hand and patients should remain under close
observation for at least 1 hr. Danger of apnea and hypotension are reduced
if injections are administered slowly","IV inj. 10-20 mg at the rate of 0.5ml (2.5 mg) per 30 sec;
repeat if necessary after 30-60 min; may be followed by IV infusion to max.
3mg/kg over 24 hrs. Children: 200-300 μg/kg","Apnea, hypotension, thrombophlebitis, dizziness and
drowsiness, lethargy, depression, headache, muscle weakness, ataxia"," Concomitant use of benzodiazepine with
opioids and/or other CNS depressants may result in profound and potentially
fatal respiratory depression."
GABAPENTIN,Capsule: 300mg,"Adjunct treatment of partial seizures, with and without
secondary generalization; bipolar affective disorder (BPAD), post-herpetic
neuralgia, neuropathic pain
","Increased blood CPK levels and
rhabdomyolysis. Safety not established in children <3yrs and pregnant
women. ","Epilepsy: 300mg on day 1, then 300mg twice daily on day
2, then 300mg 3 times daily on day 3, then increased according to response
in steps of 300 mg daily (in 3 divided doses) to a maximum 2.4 gm daily; child
(6-12 yrs) 10 mg/kg on day 1, then 20mg/kg on day 2, then 25-35mg/kg daily,
maintenance 900 mg daily.","Ataxia, dizziness, drowsiness, fatigue, somnolence, diplopia,
nystagmus, tremor, suicidal thoughts.
","Antacids may decrease the absorption of
gabapentin, increased risk of CNS depression with other CNS depressants.
Patient information: Not to drive until they have gained experience to assess
whether therapy will impair their ability to drive. Do not discontinue abruptly
(may increase seizure frequency); gradually taper over a minimum of 1 week."
LACOSAMIDE,"Tablets: 50 mg, 100 mg, 150 mg, 200 mg;
injectable solution: 200 mg/20 ml; Oral solution: 10 mg/ml
"," As monotherapy or adjunctive treatment of focal seizures with
or without secondary generalization","Second- or third-degree AV block.
Conduction problems, in elderly, severe cardiac disease; Caution in renal and
hepatic impairment.","Monotherapy: 100 mg PO/IV 12hrly initially, then, based on response and
tolerability, increase dose at weekly intervals by 50 mg PO/IV BID; up to
a recommended dose of 150-200 mg BID (300-400 mg/day); Alternate
loading dose schedule: 200 mg PO/IV as a single loading dose, followed
12 hr later by 100 mg PO/IV BID; then increase dose at weekly intervals by
50 mg BID; up to a recommended dose of 150-200 mg BID (300-400 mg/
day). In patients already taking an antiepileptic drug (AED), maintain at
recommended maintenance dose of 150-200 mg PO BID for at least 3 days
before initiating withdrawal of the previous AED.",": Abnormal gait, tremor, impaired coordination, nystagmus,blurred vision, cognitive disorder, depression, dizziness, drowsiness, fatigue,
headache, agitation. Nausea, vomiting, constipation, flatulence, pruritus.
Cardiac arrhythmias and conduction defects.
",
LAMOTRIGINE,"Tablets: 25mg, 50mg, 100mg","Partial, secondarily generalized tonic clonic seizures, LennoxGastaut syndrome, bipolar affective disorder","Hypersensitivity, lactation. Pregnancy
Category C, cardiac/renal/hepatic disease, severe depression, blood
dyscrasias, children <16yr","Monotherapy: 25mg daily initially for 14 days, increased to 50mg daily for
further 14 days, then increased by 50-100 mg daily every 7-14 days; usual
maintenance as monotherapy, 100-200 mg daily in 1-2 divided doses;
• Adjunct therapy with valproate: initially 25 mg every other day for 14 days,
then 25 mg daily for further 14 days, thereafter increased by 25-50mg daily
every 7-14days; usual maintenance 100-200mg daily in 1-2 divided doses.
• Adjunct therapy with carbamazepine: for the first 2 weeks administer 50
mg/day; at week 3 increase to 100 mg/day in 2 doses; every 1–2 weeks can
increase by 100 mg/ day; usual maintenance dose 300–500 mg/ day in 2
doses.","Dizziness, ataxia, blurred or double vision, nausea,
vomiting, rash, Stevens-Johnson syndrome.
Patient information: Medicine to be taken with food if gastrointestinal upset
occurs. Do not discontinue the drug abruptly. Discontinue the drug and
consult your doctor at first sign of rashes.",
LEVETIRACETAM," Tablet: 250 mg, 500 mg, 750 mg, 1 g; Granules:
250 mg, 500 mg, 1 g; Oral solution: 100 g/ml; Solution for infusion: 100 mg/
ml","Monotherapy of focal seizures with or without secondary
generalization, adjunctive therapy of focal seizures with or without secondary
generalization, adjunctive therapy of myoclonic seizures and tonic-clonic
seizures",": Avoid in breastfeeding mothers. Dose
should be monitored carefully during pregnancy and after birth, and
adjustments made on a clinical basis. It is recommended that the fetal
growth should be monitored. Cautions in hepatic and renal impairment, dose
adjustment required. Monitor renal function regularly",,"Abdominal pain, anorexia, nausea, vomiting, dyspepsia,
diarrhea. Headache, malaise, agitation, anxiety, insomnia, ataxia, convulsion,
dizziness, drowsiness, depression. Alopecia, amnesia, diplopia, blurred
vision, leucopenia, thrombocytopenia, myalgia, paraesthesia, eczema,
pruritus, psychosis, suicidal ideation",
OXCARBAZEPINE,"Tablet: 150mg, 300mg",: Monotherapy or adjunctive therapy of partial seizures,"Hypersensitivity, lactation. Renal
impairment, may be teratogenic, children<4 years. Monitor patients for
notable changes in behavior that might be associated with suicidal thoughts
or depression. Discontinue if dermatological reactions occur. Monitor
especially in patients at risk of hyponatremia",": Initially 300 mg BD, increased according to response in
steps up to 600mg daily at weekly intervals; Usual dose range: 0.6-2.4 g
daily in divided doses; Child over 6 years: 8-10mg/kg daily in 2 divided doses
increased according to response in steps up to 10 mg/kg daily at weekly
intervals."," Suicidal thoughts, dizziness, diplopia, headache, nausea,
vomiting, nystagmus, somnolence, ataxia, abnormal gait, tremor, abdominal
pain, fatigue, vertigo, vision abnormalities. Potentially fatal skin reactions
may occur. E.g. Steven Johnson Syndrome
","May render oral contraceptives ineffective
due to metabolic enzyme induction. Increased CNS depression with CNS
depressants"
PHENOBARBITAL,"Tablets: 30mg , 60mg; Injection 200mg","As anti-convulsant in tonic-clonic (grand mal), partial and
febrile seizures in children (except absence seizures). Pre-operative sedative
and other situations in which sedation may be required. Hypnotic (shortterm)",": Hypersensitivity, porphyria, severe hepatic
impairment, COPD, dyspnea, pregnancy and lactation. Use cautiously in
hepatic and renal dysfunction; history of suicide or drug abuse. Chronic use
in pregnancy results in drug dependency in the infant; may result in fetal
malformations and coagulation defects. May require regular monitoring of
the drug levels in plasma. Commercial injection is highly alkaline and may
cause tissue necrosis if given SC or if it extravasates (if it happens treat
with inj. 0.5% procaine); may render OCPs ineffective. Monitor respiratory
function when given parenterally or at high dose. Be aware of risk of fall
among elderly and children.","Status epilepticus (adults and children >1 mo): 15-18 mg/kg in single or
divided doses, max. loading dose = 20mg/kg;
• Maintenance anticonvulsant: IV, PO (adults and children >12 yrs): 1-3mg/
kg/day as a single dose or 2 divided doses; IV, PO (children 5-12 yrs): 4-6
mg/kg/day in 1-2 divided doses; IV, PO (children 1-5yr): 6-8 mg/kg/day in 1-2
divided doses; IV, PO (infants): 5-6 mg/kg/day in 1-2 divided doses; IV, PO
(neonates): 3-4 mg/kg/day, once daily, may need to increase up to 5mg/kg","Ataxia, dizziness, drowsiness, dysarthria, nystagmus,
irritability, vertigo, impairment in cognitive function (especially in children);
IV: respiratory depression, laryngospasm, hypotension. Hypersensitivity
reactions including angioedema, serum sickness."," Induces hepatic microsomal enzyme system
leading to increase in its own metabolism as well as that of other drugs such
as carbamazepine, warfarin, OCPs and corticosteroids thereby decreasing
their plasma concentrations"
